Title,Authors,Journal,Year,Drug Discovery Status,Primary Target,AlphaFold Use Score,AlphaFold Use Evidence,PMID,DOI,PubMed URL,Publication Type,Keywords/MeSH,Abstract
Differential Inhibition by Cenobamate of Canonical Human Nav1.5 Ion Channels and Several Point Mutants.,Şulea Teodor Asvadur; Draga Sorin; Mernea Maria; Corlan Alexandru Dan; Radu Beatrice Mihaela; Petrescu Andrei-Jose; Amuzescu Bogdan,International journal of molecular sciences,2025,In Vitro (Biochemical),GABAA,3,explicit AF usage stated; AF2/AF3/Multimer mentioned,39796214,10.3390/ijms26010358,https://pubmed.ncbi.nlm.nih.gov/39796214/,Journal Article,MM-GBSA; MM-PBSA; Nav1.5; binding free energy; cardiac voltage-dependent sodium channel; cenobamate; molecular docking; molecular dynamics; point mutant; structural model; Humans; NAV1.5 Voltage-Gated Sodium Channel; Molecular Docking Simulation; Chlorophenols; Carbamates; Point Mutation; Binding Sites; Anticonvulsants; Tetrazoles,"Cenobamate is a new and highly effective antiseizure compound used for the treatment of adults with focal onset seizures and particularly for epilepsy resistant to other antiepileptic drugs. It acts on multiple targets, as it is a positive allosteric activator of γ-aminobutyric acid type A (GABAA) receptors and an inhibitor of neuronal sodium channels, particularly of the late or persistent Na+ current. We recently evidenced the inhibitory effects of cenobamate on the peak and late current component of the human cardiac isoform hNav1.5. The determined apparent IC50 values of 87.6 µM (peak) and 46.5 µM (late current) are within a clinically relevant range of concentrations (the maximal plasma therapeutic effective concentration for a daily dose of 400 mg in humans is 170 µM). In this study, we built a 3D model of the canonical hNav1.5 channel (UniProt Q14524-1) in open conformation using AlphaFold2, embedded it in a DPPC lipid bilayer, corrected the residue protonation state (pH 7.2) with H++, and added 2 Na+ ions in the selectivity filter. By molecular docking, we found the cenobamate binding site in the central cavity. We identified 10-point mutant variants in the binding site region and explored them via docking and MD. Mutants N1462K/Y (rs1064795922, rs199473614) and M1765R (rs752476527) (by docking) and N932S (rs2061582195) (by MD) featured higher predicted affinity than wild-type."
AI-assisted identification of a novel Orthopoxvirus inhibitor targeting F13.,Luan Junwen; Ming Annan; Zhao Wenbo; Zhang Liyuan; Zhang Leiliang,Biosafety and health,2025,In Vitro (Biochemical),phosphodiesterase,3,AF used for structure prediction; activity data reported,41635305,10.1016/j.bsheal.2024.12.002,https://pubmed.ncbi.nlm.nih.gov/41635305/,Journal Article,Artificial intelligence (AI); F13; Mpox; Tecovirimat; mpox virus (MPXV),"Treatment of mpox virus (MPXV) is crucial for public health. However, research into drugs for MPXV has fallen behind, particularly in anticipation of sudden outbreaks. This study aimed to identify new inhibitors of Orthopoxvirus using artificial intelligence (AI)-assisted methods. We explored AlphaFold v2.0 to simulate the F13 protein structures of MPXV, vaccinia virus (VACV), and variola virus (VARV). Utilizing MOE2019 software, we identified amino acid binding sites suitable for small molecule docking, focusing on a phosphodiesterase active site pocket in F13. Our efforts led to the identification of JCS-2022, a promising new inhibitor that exhibited docking similarities with the known anti-poxvirus drug tecovirimat. In vitro experiments demonstrated that JCS-2022 had a half maximal effective concentration (EC50) of 0.05430 μmol/L (μM), comparable to tecovirimat's EC50 of 0.04794 μM. At a dosage of 1.6 μM, JCS-2022 significantly reduced VACV plaque size, indicating effective inhibition of extracellular enveloped virus (EEV) formation. Immunofluorescence analysis confirmed a reduction in VACV-induced actin tail formation. Our findings suggest that JCS-2022 is a strong candidate for development as a small molecule inhibitor against Orthopoxvirus, highlighting the potential of AI-assisted methods in accelerating drug discovery for infectious diseases."
Structure Prediction and Computational Protein Design for Efficient Biocatalysts and Bioactive Proteins.,Buller Rebecca; Damborsky Jiri; Hilvert Donald; Bornscheuer Uwe T,Angewandte Chemie (International ed. in English),2025,In Vitro (Biochemical),,3,AF used for structure prediction; synthesis reported,39584560,10.1002/anie.202421686,https://pubmed.ncbi.nlm.nih.gov/39584560/,Journal Article,AlphaFold; Computational protein design; Nobel prize; Protein engineering; Protein structure prediction; Biocatalysis; Machine Learning; Protein Conformation; Protein Engineering; Proteins,"The ability to predict and design protein structures has led to numerous applications in medicine, diagnostics and sustainable chemical manufacture. In addition, the wealth of predicted protein structures has advanced our understanding of how life's molecules function and interact. Honouring the work that has fundamentally changed the way scientists research and engineer proteins, the Nobel Prize in Chemistry in 2024 was awarded to David Baker for computational protein design and jointly to Demis Hassabis and John Jumper, who developed AlphaFold for machine-learning-based protein structure prediction. Here, we highlight notable contributions to the development of these computational tools and their importance for the design of functional proteins that are applied in organic synthesis. Notably, both technologies have the potential to impact drug discovery as any therapeutic protein target can now be modelled, allowing the de novo design of peptide binders and the identification of small molecule ligands through in silico docking of large compound libraries. Looking ahead, we highlight future research directions in protein engineering, medicinal chemistry and material design that are enabled by this transformative shift in protein science."
Virtual screening and biological evaluation of natural products as urate transporter 1 (URAT1) inhibitors.,Du Chunying; Yin Hua; Xie Aowei; Yu Junhong; Wang Yifan; Yao Fengli; Zhang Siyu; Zhang Yidan; Liu Lu; Wang Peng; Dong Jianjun; Xu Ximing,Journal of biomolecular structure & dynamics,2025,In Vitro (Biochemical),URAT1,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,38553409,10.1080/07391102.2024.2331101,https://pubmed.ncbi.nlm.nih.gov/38553409/,Journal Article,URAT1; hyperuricemia; natural products; structure-activity relationship; virtual screening; Humans; Molecular Docking Simulation; Organic Anion Transporters; Biological Products; Flavonoids; Organic Cation Transport Proteins; HEK293 Cells; Molecular Dynamics Simulation; Structure-Activity Relationship; Protein Binding,"Hyperuricemia is mainly caused by insufficient renal urate excretion. Urate transporter 1 (URAT1), an organic anion transporter, is the main protein responsible for urate reabsorption. In this study, we utilized artificial intelligence-based AlphaFold2 program to construct URAT1 structural model. After molecular docking and conformational evaluation, four e-pharmacophoric models were constructed based on the complex structures of probenecid-URAT1, benzbromarone-URAT1, lesinurad-URAT1, and verinurad-URAT1. Combining pharmacophore modeling, molecular docking, MM/GBSA calculation and ADME prediction, 25 flavonoids were selected from the natural products database containing 10,968 molecules. Then, a model of HEK-293T cells overexpressing URAT1 was constructed, and the inhibitory activity to URAT1 of 25 flavonoids was evaluated by measuring their effect on cellular uptake of 6-carboxyfluorescein (6-CFL). Fisetin, baicalein, and acacetin showed the best activity with IC50 values of 12.77, 26.71, and 57.30 µM, respectively. Finally, the structure-activity relationship of these three flavonoids was analyzed by molecular docking and molecular dynamics simulations. The results showed that the carbonyl group on C-4 and hydroxyl group on C-7, C-4', and C-5' in flavonoids were conducive for URAT1 inhibitory effects. This study facilitates the application of flavonoids in the development of URAT1 inhibitors."
NRBP1 pseudokinase binds to and activates the WNK pathway in response to osmotic stress.,Amnekar Ramchandra V; Dite Toby; Lis Pawel; Bell Sebastian; Brown Fiona; Johnson Clare; Wilkinson Stuart; Raggett Samantha; Dorward Mark; Wightman Mel; Macartney Thomas; Soares Renata F; Lamoliatte Frederic; Alessi Dario R,Science advances,2025,In Vitro (Biochemical),,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,40668933,10.1126/sciadv.adv4636,https://pubmed.ncbi.nlm.nih.gov/40668933/,Journal Article,Humans; Osmotic Pressure; Protein Serine-Threonine Kinases; WNK Lysine-Deficient Protein Kinase 1; Protein Binding; Signal Transduction; HEK293 Cells,"WNK family kinases are regulated by osmotic stress and control ion homeostasis by activating SPAK and OXSR1 kinases. Using a proximity labeling approach, we found that osmotic stress promotes the association of WNK1 with the NRBP1 pseudokinase and TSC22D2/4 adaptor proteins, results that are confirmed by immunoprecipitation, mass spectrometry, and immunoblotting studies. NRBP1 pseudokinase is closely related to WNK isoforms and contains a RΦ-motif-binding conserved C-terminal (CCT) domain, like the CCT domains in WNKs, SPAK, and OXSR1. Knockdown or knockout of NRBP1 markedly inhibited basal as well as sorbitol-induced activation of WNK1 and downstream components. We demonstrate that recombinant NRBP1 can directly induce the activation of WNK4 in vitro. AlphaFold-3 modeling predicts that WNK1, SPAK, NRBP1, and TSC22D4 form a complex, in which two TSC22D4 RΦ-motifs interact with the CCTL1 domain of WNK1 and the CCT domain of NRBP1. Our data indicate that NRBP1 and likely its close homolog NRBP2 function as an upstream activator of the WNK pathway."
Comprehensive molecular docking on the AlphaFold-predicted protein structure proteome: identifying target protein candidates for puberulic acid.,Hayama Teppei; Sugawara Rin; Kamata Ryo; Sekijima Masakazu; Takeda Kazuki,The Journal of toxicological sciences,2025,In Vitro (Biochemical),,4,AF used for structure prediction; docking on AF structure; AF2/AF3/Multimer mentioned,40603041,10.2131/jts.50.309,https://pubmed.ncbi.nlm.nih.gov/40603041/,Journal Article,AlphaFold2; Computational toxicology; Molecular docking; Puberulic acid; Toxicity target; Molecular Docking Simulation; Animals; Humans; Mice; Proteome; Protein Conformation,"Identifying the molecular targets of toxic compounds remains a major challenge in toxicology, particularly when adverse effects occur in off-target organs and the mechanism of action is unknown. To address this issue, a comprehensive computational pipeline was developed to perform high-throughput molecular docking across the entire AlphaFold2-predicted structural proteome of representative organisms such as human and mouse, followed by enrichment analysis to estimate biological processes potentially affected by ligand binding. The pipeline was first evaluated using six known drug-target pairs. In several cases, the known targets were ranked between the top 2 and 250 proteins (top 0.009-1.15%) among more than 21,000 proteins, and displayed docking poses consistent with experimentally observed binding conformations. However, performance was limited for certain targets, such as carbonic anhydrase II with acetazolamide, where the binding pocket was broad, leading to inaccurate docking results. The pipeline was subsequently applied to puberulic acid, a compound suspected of causing severe nephrotoxicity. Screening identified sodium/myo-inositol cotransporter 2 (SLC5A11) as a high-affinity target in both human and mouse, suggesting a mechanism involving disruption of renal osmoregulation. Although docking scores represent only theoretical binding estimates and do not directly imply physiological effects, their distribution was independent of protein length and AlphaFold2 confidence scores (pLDDT), supporting the methodological robustness. This in silico framework enables hypothesis-driven identification of potential target proteins for toxicants or therapeutics and offers a useful tool for predictive toxicology, particularly when experimental data are limited. The pipeline is available at: https://github.com/toxtoxcat/reAlldock."
"Reliable protein-protein docking with AlphaFold, Rosetta, and replica exchange.",Harmalkar Ameya; Lyskov Sergey; Gray Jeffrey J,eLife,2025,In Vitro (Biochemical),,4,structure from AF; AF structure used for docking/screening; docking on AF structure,40424178,10.7554/eLife.94029,https://pubmed.ncbi.nlm.nih.gov/40424178/,Journal Article,AlphaFold; RosettaDock; computational biology; molecular biophysics; none; protein docking; protein interactions; replica exchange; structural biology; structure prediction; systems biology; Molecular Docking Simulation; Proteins; Algorithms; Protein Conformation; Protein Binding; Computational Biology; Software; Protein Folding,"Despite the recent breakthrough of AlphaFold (AF) in the field of protein sequence-to-structure prediction, modeling protein interfaces and predicting protein complex structures remains challenging, especially when there is a significant conformational change in one or both binding partners. Prior studies have demonstrated that AF-multimer (AFm) can predict accurate protein complexes in only up to 43% of cases (Yin et al., 2022). In this work, we combine AF as a structural template generator with a physics-based replica exchange docking algorithm to better sample conformational changes. Using a curated collection of 254 available protein targets with both unbound and bound structures, we first demonstrate that AF confidence measures (pLDDT) can be repurposed for estimating protein flexibility and docking accuracy for multimers. We incorporate these metrics within our ReplicaDock 2.0 protocol to complete a robust in silico pipeline for accurate protein complex structure prediction. AlphaRED (AlphaFold-initiated Replica Exchange Docking) successfully docks failed AF predictions, including 97 failure cases in Docking Benchmark Set 5.5. AlphaRED generates CAPRI acceptable-quality or better predictions for 63% of benchmark targets. Further, on a subset of antigen-antibody targets, which is challenging for AFm (20% success rate), AlphaRED demonstrates a success rate of 43%. This new strategy demonstrates the success possible by integrating deep learning-based architectures trained on evolutionary information with physics-based enhanced sampling. The pipeline is available at https://github.com/Graylab/AlphaRED."
Benchmarking HelixFold3-Predicted Holo Structures for Relative Free Energy Perturbation Calculations.,Furui Kairi; Ohue Masahito,ACS omega,2025,In Vitro (Biochemical),,6,AF used for structure prediction; structure from AF; AF structure used for docking/screening; AF2/AF3/Multimer mentioned,40160764,10.1021/acsomega.4c11413,https://pubmed.ncbi.nlm.nih.gov/40160764/,Journal Article,,"Free energy perturbation (FEP) calculations are a powerful tool for predicting binding affinities in drug discovery, but their accuracy heavily depends on accurate protein-ligand complex structures. While AlphaFold2 revolutionized protein structure prediction, its inability to predict holo structures limits its application in structure-based drug design. AlphaFold3 and its reproduction HelixFold3 demonstrated the ability to predict protein complexes with various binding partners, including small molecules. In this study, we evaluated HelixFold3's ability to predict protein-ligand complexes using eight targets from Wang et al.'s FEP benchmark set. Our analysis revealed that HelixFold3 outperformed the existing methods, including AlphaFold2, in predicting binding site conformations. Notably, the prediction of holo structures yielded a higher binding site accuracy compared to apo structures. FEP calculations using both HelixFold3-predicted holo and apo structures achieved accuracy comparable to that of calculations using crystal structures. Furthermore, HelixFold3 successfully predicted complex structures for novel derivatives not present in its training data, and FEP calculations using these predicted structures maintained reliable accuracy. These results suggest that HelixFold3-predicted structures can effectively substitute for crystal structures in early stage drug discovery."
Familial Idiopathic Glomerular Disease due to a Unique Renal-Predominant Phenotype of MYH9-Related Disease: A Case Report.,Freeman Natasha S; Bogyo Kelsie; Beenken Andrew; Nestor Jordan G; Sanna-Cherchi Simone; Canetta Pietro A,Glomerular diseases,2025,Computational Only,,5,AF used for structure prediction; structure from AF; explicit AF usage stated,40503181,10.1159/000546242,https://pubmed.ncbi.nlm.nih.gov/40503181/,Journal Article,Case report; Genetics; Glomerular diseases; MYH9-related disease; Proteinuria,"INTRODUCTION: MYH9-related disease (MYH9-RD) is a rare genetic cause of proteinuric kidney disease. It typically manifests as a syndromic condition, presenting with macrocytic thrombocytopenia, sensorineural hearing loss (SNHL), chronic glomerulopathy, elevated liver enzymes, and early-onset bilateral cataracts. In accordance with CARE guidelines, we present a case report of a father and daughter with renal-predominant MYH9-RD due to a recently described missense variant affecting the head domain of non-muscle myosin heavy chain IIA. CASE PRESENTATIONS: Patient 1 was an 18-year-old woman with childhood proteinuria who presented with severely advanced kidney failure. Dialysis was initiated as a bridge to a living unrelated renal transplant (LURT). Family history was notable for proteinuric kidney disease in her father (patient 2). Eight years later, genetic testing identified a likely pathogenic missense variant in the head domain of the MYH9 gene (c.1271G>A, p.R424Q). A predictive structural model was obtained via AlphaFold Protein Structure Database, in which the mutation interrupts hydrogen bonding and π-cation interactions, likely leading to protein misfolding. Subsequent clinical screening revealed persistent mild thrombocytopenia and elevated liver enzymes, without cataracts or SNHL. Patient 2 was a 53-year-old man with childhood proteinuria who eventually presented with stage 4 chronic kidney disease and soon after underwent LURT. After patient 1's genetic diagnosis, he was confirmed to have the same mutation by genetic testing. Subsequent screening revealed mild thrombocytopenia and elevated liver enzymes with hepatic steatosis progressing to cirrhosis, without cataracts or SNHL. CONCLUSION: The finding of this MYH9 p.R424Q variant confirmed a diagnosis of MYH9-RD in these patients. MYH9 variants affecting the head domain typically result in severe thrombocytopenia. This recently reported head domain variant caused severe renal manifestations with mild thrombocytopenia and no manifestations of SNHL or cataracts in both patients, suggesting that this variant causes a renal-predominant form of MYH9-RD."
Beyond current boundaries: Integrating deep learning and AlphaFold for enhanced protein structure prediction from low-resolution cryo-EM maps.,Ma Xin; Si Dong,Computational biology and chemistry,2025,Computational Only,,3,AF used for structure prediction; structure from AF,40460619,10.1016/j.compbiolchem.2025.108494,https://pubmed.ncbi.nlm.nih.gov/40460619/,Journal Article,"AlphaFold; Computational structural biology; Cryo-EM; Deep learning; Deep Learning; Cryoelectron Microscopy; Proteins; Protein Conformation; Models, Molecular; Neural Networks, Computer","Constructing atomic models from cryo-electron microscopy (cryo-EM) maps is a crucial yet intricate task in structural biology. While advancements in deep learning, such as convolutional neural networks (CNNs) and graph neural networks (GNNs), have spurred the development of sophisticated map-to-model tools like DeepTracer and ModelAngelo, their efficacy notably diminishes with low-resolution maps beyond 4 Å. To address this critical gap, this study introduces DeepTracer-LowResEnhance, an innovative computational framework that uniquely integrates structural predictions from AlphaFold with a deep-learning-based map refinement strategy specifically tailored to enhance low-resolution maps. Unlike existing techniques, our approach leverages the strengths of AlphaFold's sequence-based predictions combined with advanced neural network-driven refinement processes to significantly improve map interpretability and modeling accuracy. DeepTracer-LowResEnhance demonstrates substantial and consistent improvements on an extensive dataset comprising 37 diverse protein cryo-EM maps, covering resolutions from 2.5 to 8.4 Å and including 22 challenging cases below 4 Å resolution. DeepTracer-LowResEnhance achieves an average TM-score improvement of 3.53x compared to baseline DeepTracer predictions. Notably, our enhanced methodology showed performance gains across 95.5% of the tested low-resolution datasets. A comparative analysis alongside traditional sharpening methods such as Phenix's auto-sharpening illustrates DeepTracer-LowResEnhance's superior capability in rendering more detailed and precise atomic models, thereby pushing the boundaries of current computational structural biology methodologies."
"Modeling glycans with AlphaFold 3: capabilities, caveats, and limitations.",Huang Chin; Kannan Natarajan; Moremen Kelley W,Glycobiology,2025,Computational Only,,5,AF used for structure prediction; structure from AF; AF2/AF3/Multimer mentioned; synthesis reported,40874547,10.1093/glycob/cwaf048,https://pubmed.ncbi.nlm.nih.gov/40874547/,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, N.I.H., Extramural","AlphaFold 3; glycan modeling; glycan stereochemistry; glycan-protein interaction; glycoprotein modeling; Polysaccharides; Humans; Models, Molecular; Glycosylation; Software","Glycans are complex carbohydrates that exhibit extraordinary structural complexity and stereochemical diversity while playing essential roles in many biological processes, including immune regulation, pathogen recognition, and cell communication. In humans, more than half of all proteins are glycosylated, particularly those in secretory and membrane-associated pathways, highlighting the importance of glycans in health and disease. The recent release of the AlphaFold 3 source code enables customizable modeling not only of proteins but also glycan-containing biomolecular complexes. We assessed the capacity of AlphaFold 3 to model glycans using several input formats and identified a hybrid syntax employing Chemical Component Dictionary (CCD)-based molecular building blocks linked by ""bondedAtomPairs"" (BAP) as most effective in generating stereochemically valid glycan models. This workflow was used to create a library of AlphaFold 3 input templates and corresponding structural models for various glycan classes. We further explored capabilities, limitations, and remediation strategies for modeling problematic structures. Glycan interactions were also modeled with glycosylation enzymes and lectins with benchmarking and validation against known crystal structures. This protocol-driven approach is valuable for generating stereochemically valid, static models of glycan-protein interactions to support hypothesis development and subsequent structural and functional validation. However, caution should be observed in overinterpretation of the static models since glycans are known to exhibit considerable conformational dynamics that can be further captured by equilibrium sampling using molecular dynamics-based approaches. By sharing benchmarked examples using the BAP syntax we aim to support broader evaluation of AlphaFold 3 in studying glycan-related mechanisms in biosynthesis, signaling, infection, and disease."
Structural insights and biophysical characterization of p90RSK2:ERK2 complex.,Kobori Evan Kazuo; Nguyen Hoang Phuong My; Wu Jian; Chen Katherine; Malinovski Rodeon; Taylor Susan,The Biochemical journal,2025,Computational Only,,3,AF used for structure prediction; synthesis reported,40737028,10.1042/BCJ20253110,https://pubmed.ncbi.nlm.nih.gov/40737028/,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural","AlphaFold modeling; ERK; cryogenic electron microscopy; hydrogen–deuterium exchange mass spectrometry; kinase; p90RSK; Ribosomal Protein S6 Kinases, 90-kDa; Cryoelectron Microscopy; Mitogen-Activated Protein Kinase 1; Humans; Models, Molecular; Protein Domains; Protein Conformation; Protein Binding","Kinase domains are often flanked by flexible tails and intrinsically disordered regions (IDRs) that contain conserved motifs. The co-ordinated action and interplay of IDRs and folded kinase domains is necessary for the proper function of kinases and kinase complexes. Characterization of full-length kinases and complexes is often challenging due to the flexible nature of flanking IDRs, yet necessary to fully understand their function and regulation. The p90 ribosomal S6 kinase (RSK) family is a unique kinase family with two distinct, functional kinase domains (NTK and CTK) flanked by flexible tails and a linker. RSK2 forms a stable complex with its activating kinase, ERK2, and here, we use multiple complementary techniques, hydrogen-deuterium exchange mass spectrometry, cryoelectron microscopy (cryo-EM), and AlphaFold (AF) modeling to study the full-length RSK2:ERK2 complex. We find that broadly, ERK2 is more solvent protected than the NTK/CTK. The NTK N-lobe has quite high deuterium uptake, and analysis of published NTK crystal structures suggests that the NTK N-lobe is dynamic and can adopt a wide range of conformations. The cryo-EM reveals that the RSK2:ERK2 complex adopts a compact shape, and this is consistent with the AF model of the complex, which hints at a possible additional interface between the NTK and ERK2. Collectively, our approach demonstrates that employing multiple complementary techniques can provide insight into the structure and biophysical characteristics of this challenging-to-study kinase complex."
Inhibitory Activity of N- and S-Functionalized Monoterpene Diols Towards Monoamine Oxidases A and B.,Podturkina Alexandra V; Ardashov Oleg V; Soldatova Yuliya V; Poletaeva Darya A; Smolina Anastasiya V; Vasyuchenko Ekaterina P; Vyatkin Yuri V; Li-Zhulanov Nikolai S; Faingold Irina I; Salakhutdinov Nariman F; Volcho Konstantin P,International journal of molecular sciences,2024,Preclinical (In Vivo),,4,explicit AF usage stated; AF2/AF3/Multimer mentioned; activity data reported,39795958,10.3390/ijms26010097,https://pubmed.ncbi.nlm.nih.gov/39795958/,Journal Article,MAO; Parkinson’s disease; artificial intelligence; docking; inhibitor; terpene; Monoamine Oxidase Inhibitors; Monoamine Oxidase; Molecular Docking Simulation; Animals; Monoterpenes; Mice; Structure-Activity Relationship; Humans,"Monoamine oxidase B (MAO-B) inhibitors are widely used as part of combination drug therapy for Parkinson's disease. As demonstrated in both in vitro and in vivo experiments, the monoterpenoid Prottremine and some of its derivatives exhibit high antiparkinsonian activity. In this study, the inhibitory activity of Prottremine and its derivatives (including 14 new 9-N- and S-derivatives) against MAO-A and MAO-B enzymes has been investigated for the first time. Compounds containing fragments of substituted anilines have demonstrated the highest activity against MAO-A; for example, compound 28 had an IC50 of 178 ± 44 μM. A significant proportion of the compounds tested, including Prottremine, exhibited moderate inhibitory activity towards MAO-B, with the most active being the o-aminoacetophenone derivative, which had an IC50 of 95 ± 5 μM. A molecular docking method for studying murine MAO-A and -B enzymes was developed using AlphaFold2 (v2.3.2), with further improvements. For the MAO-B enzyme, a strong correlation was observed between the molecular docking data and the measured activity of the compounds, with the maximum binding affinity registered for the most active compound. It is conceivable that the antiparkinsonian activity of Prottremine and some of its derivatives may be partially mediated, among other mechanisms, by MAO-B enzyme inhibition."
Computational biology assisted exploration of phytochemicals derived natural inhibitors to block BZLF1 gene activation of Epstein-Bar virus in host.,Naveed Muhammad; Hussain Muzamal; Aziz Tariq; Hanif Nimra; Kanwal Nazia; Arshad Arooj; Khan Ayaz Ali; Alshammari Abdulrahman; Alharbi Metab,Scientific reports,2024,Preclinical (In Vivo),Natural,5,structure from AF; explicit AF usage stated; explicit AF usage stated,39738195,10.1038/s41598-024-81037-2,https://pubmed.ncbi.nlm.nih.gov/39738195/,"Journal Article; Research Support, Non-U.S. Gov't","BZLF1; Computational biology; Drug design; EBV; Epstein–Barr virus; Phytochemicals; Trans-Activators; Herpesvirus 4, Human; Humans; Computational Biology; Molecular Docking Simulation; Antiviral Agents; Molecular Dynamics Simulation","The Epstein-Barr virus (EBV) is widespread and has been related to a variety of malignancies as well as infectious mononucleosis. Despite the lack of a vaccination, antiviral medications offer some therapy alternatives. The EBV BZLF1 gene significantly impacts viral replication and infection severity. The current study performed computer-assisted techniques to analyses the potential drug candidates against Epstein-Barr virus toxin Zta [Human gamma-herpesvirus 4 (Epstein-Barr virus)] from phytochemicals derived natural inhibitors. Various bioinformatics methods were employed to predict and analyze the toxin protein structure obtained from NCBI, and its secondary and tertiary structures were predicted using PSIPRED and the AlphaFold. ProtParam was used to assess physiochemical characteristics. Natural inhibitors were found in the literature and PubChem, tested with PyRx, and performed blind docking by using CB-Dock, then the top selected drug candidate from natural inhibitors was analyzed for possible drug development applications using preADMET, Molinspiration, and MD simulations. Density functional Theory analysis was executed to predict the transition energies and the reactivity. Imperatorin was the best candidate for developing the drug against toxin protein Zta coded by the BZLF1 gene because it exhibited the lowest binding energy (- 6.3 kcal/mol) during natural inhibitor screening. Imperatorin's compliance with Lipinski's Rule of 5 and favorable pharmacokinetics make it an ideal therapeutic agent against EBV. Since vaccines and medications are crucial for treating infectious diseases and cancer, computational approaches seem promising and less costly to design and discover potential drug candidates and vaccines with the help of in silico methods but further in vitro research is required for experimental validation."
Molecular Modeling and In Vitro Functional Analysis of the RGS12 PDZ Domain Variant Associated with High-Penetrance Familial Bipolar Disorder.,Agogo-Mawuli Percy S; Mendez Joseph; Oestreich Emily A; Bosch Dustin E; Siderovski David P,International journal of molecular sciences,2024,Preclinical (In Vivo),,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,39518985,10.3390/ijms252111431,https://pubmed.ncbi.nlm.nih.gov/39518985/,Journal Article,"alchemical transformation; bipolar disorder; co-immunoprecipitation; docking; free-energy perturbation; genetics; molecular dynamics; surface plasmon resonance; Humans; RGS Proteins; PDZ Domains; Bipolar Disorder; Protein Binding; Molecular Docking Simulation; Molecular Dynamics Simulation; Mutation, Missense; Models, Molecular","Bipolar disorder's etiology involves genetics, environmental factors, and gene-environment interactions, underlying its heterogeneous nature and treatment complexity. In 2020, Forstner and colleagues catalogued 378 sequence variants co-segregating with familial bipolar disorder. A notable candidate was an R59Q missense mutation in the PDZ (PSD-95/Dlg1/ZO-1) domain of RGS12. We previously demonstrated that RGS12 loss removes negative regulation on the kappa opioid receptor, disrupting basal ganglia dopamine homeostasis and dampening responses to dopamine-eliciting psychostimulants. Here, we investigated the R59Q variation in the context of potential PDZ domain functional alterations. We first validated a new target for the wildtype RGS12 PDZ domain-the SAPAP3 C-terminus-by molecular docking, surface plasmon resonance (SPR), and co-immunoprecipitation. While initial molecular dynamics (MD) studies predicted negligible effects of the R59Q variation on ligand binding, SPR showed a significant reduction in binding affinity for the three peptide targets tested. AlphaFold2-generated models predicted a modest reduction in protein-peptide interactions, which is consistent with the reduced binding affinity observed by SPR, suggesting that the substituted glutamine side chain may weaken the affinity of RGS12 for its in vivo binding targets, likely through allosteric changes. This difference may adversely affect the CNS signaling related to dynorphin and dopamine in individuals with this R59Q variation, potentially impacting bipolar disorder pathophysiology."
Peptidomic profiling of endogenous peptides in the spleens of mouse models of Graves' disease.,Jiang Zhengrong; Chen Lijun; Huang Huibin,Heliyon,2024,Preclinical (In Vivo),,3,docking on AF structure; explicit AF usage stated,39295986,10.1016/j.heliyon.2024.e36661,https://pubmed.ncbi.nlm.nih.gov/39295986/,Journal Article,Antigen presentation; Graves' disease; Human thyrotropin receptor A subunit; Molecular docking; Peptidomics,"BACKGROUND: Graves' disease (GD) is a common autoimmune thyroid disorder. The pathogenesis of GD involves an autoimmune response to the A subunit of the human thyrotropin receptor (hTSHR), although the specific mechanisms are not fully elucidated. METHODS: This study established a GD model by immunizing BALB/c mice with a recombinant adenovirus expressing the hTSHR A subunit. Spleen tissues were collected and analyzed using liquid chromatography-tandem mass spectrometry (LC-MS/MS) to identify differentially expressed peptides (DEPs). Gene Ontology (GO) analysis and KEGG pathway analysis were further utilized to annotate the functions of these DEPs. Additionally, peptide bioactivity prediction and molecular docking studies were conducted using Alphafold and Pymol software, respectively, to assess the binding affinity of specific peptides to the hTSHR A subunit. RESULTS: The GD mouse model was successfully established, and 1,428 DEPs were identified in the spleen, with 368 upregulated and 1,060 downregulated. Functional analysis indicated that these DEPs are mainly involved in cellular endocytosis, regulation of gene expression, and nucleocytoplasmic transport. Notably, molecular docking studies revealed that the abnormally highly expressed peptide HG2A-24aa demonstrated potential bioactivity and strong binding affinity with hTSHR-289aa. CONCLUSION: The specific bioactive peptides may play key roles in the pathogenesis of GD, particularly HG2A-24aa, which may have a significant role in the MHC II antigen presentation pathway mediated by the hTSHR A subunit."
